stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
100002,Legislature Exch,48.41974,-123.36901,0,100002
100003,Legislature Exch Bay D,48.41915,-123.36896,0,100003
100004,Legislature Exch Bay F,48.4183,-123.36936,0,100004
100006,Legislature Exch Bay E,48.41827,-123.36807,0,100006
100008,Superior St at Menzies St,48.41827,-123.37282,0,100008
100009,Hwy 17 at Elk Lake Dr,48.51371,-123.38442,0,100009
100010,Douglas St at Courtney St,48.42274,-123.36575,0,100010
100011,Menzies St at Superior St,48.41785,-123.37265,0,100011
100012,Douglas St at Blanshard St,48.41923,-123.36589,0,100012
100013,Menzies St at Michigan St,48.41717,-123.37282,0,100013
100014,Gordon Head Rd at Arbutus Rd,48.47934,-123.30763,0,100014
100016,Sooke Rd at Townsend Rd - Sooke Town Ctr,48.37834,-123.72201,0,100016
100017,Burdett Ave at Douglas St,48.42205,-123.36546,0,100017
100018,5200 Blk Sooke Rd,48.38903,-123.64285,0,100018
100019,Douglas St at Courtney St,48.42273,-123.36597,0,100019
100021,Superior St at Oswego St,48.4194,-123.37605,0,100021
100022,Menzies St at Michigan St,48.41661,-123.37335,0,100022
100024,Fairfield Rd at Blanshard St Bay B,48.42124,-123.36353,0,100024
100025,Fairfield Rd at Blanshard St Bay A,48.42189,-123.36409,0,100025
100028,Fort St at Wharf St,48.42499,-123.36924,0,100028
100029,Legislature Exch Bay C,48.41897,-123.36896,0,100029
100030,Oswego St at Michigan St,48.41874,-123.37713,0,100030
100031,Menzies St at Toronto St,48.41556,-123.37371,0,100031
100032,Douglas St at Fort St,48.42437,-123.36532,0,100032
100033,Fort St at Douglas St,48.4245,-123.36458,0,100033
100034,Douglas St at Fort St,48.42496,-123.36535,0,100034
100035,Fairfield Rd at Quadra St,48.42021,-123.36075,0,100035
100036,Menzies St at Simcoe St,48.41497,-123.37449,0,100036
100037,Douglas St at Avalon Rd,48.41487,-123.36631,0,100037
100039,Fairfield Rd at Quadra St,48.42019,-123.36101,0,100039
100042,Douglas St at View St,48.42555,-123.36518,0,100042
100044,Oswego St at St James St,48.41706,-123.37896,0,100044
100045,Fort St at Blanshard St,48.42417,-123.36183,0,100045
100046,Douglas St at Simcoe St,48.41358,-123.36728,0,100046
100047,Wharf St at Yates St,48.42709,-123.3705,0,100047
100048,Yates St at Douglas St,48.42644,-123.36571,0,100048
100049,Niagara St at Menzies St,48.41369,-123.37523,0,100049
100050,Government St at Johnson St,48.42723,-123.36724,0,100050
100051,Douglas St at Johnson St,48.42671,-123.36467,0,100051
100052,Niagara St at Menzies St,48.41358,-123.37529,0,100052
100053,Johnson St at Wharf St,48.42775,-123.3697,0,100053
100054,Niagara St at Clarence St,48.41299,-123.37375,0,100054
100055,Johnson St at Broad St,48.42725,-123.36563,0,100055
100056,Fairfield Rd at Vancouver St,48.41836,-123.35866,0,100056
100058,Niagara St at Clarence St,48.41282,-123.37367,0,100058
100061,Gorge Rd W at Millgrove St,48.44675,-123.39554,0,100061
100062,Vancouver St at Collinson St,48.41889,-123.35822,0,100062
100063,Johnson St at Douglas St,48.42705,-123.36398,0,100063
100064,Fort St at Quadra St,48.42389,-123.35922,0,100064
100065,Niagara St at Government St,48.41224,-123.37211,0,100065
100067,Otter Point Rd at Butler Rd,48.39484,-123.77279,0,100067
100068,Yates St at Quadra St,48.42585,-123.36044,0,100068
100069,Quadra St at View St,48.42442,-123.35951,0,100069
100071,University Dr at Ring Rd,48.45977,-123.31452,0,100071
100072,Niagara St at Government St,48.41193,-123.37181,0,100072
100073,Fairfield Rd at Vancouver St,48.41838,-123.35801,0,100073
100075,Richardson St at Vancouver St,48.41996,-123.35749,0,100075
100076,Douglas St at Pandora Ave,48.42771,-123.36446,0,100076
100077,Pandora Ave at Store St,48.4286,-123.36812,0,100077
100078,Douglas St at Beacon St,48.41126,-123.36859,0,100078
100079,Johnson St at Blanshard St,48.42673,-123.36127,0,100079
100080,Douglas St at Beacon St,48.41197,-123.36802,0,100080
100082,Douglas St at Pandora Ave,48.42868,-123.36458,0,100082
100084,Pandora Ave at Blanshard St,48.42791,-123.36247,0,100084
100085,Quadra St at Johnson St,48.42615,-123.35908,0,100085
100086,Erie St at Dallas Rd - Fisherman's Wharf,48.42158,-123.38331,0,100086
100089,Oswego St at Dallas Rd,48.41451,-123.38168,0,100089
100090,Niagara St at Douglas St,48.41063,-123.36899,0,100090
100091,Fairfield Rd at Cook St,48.41816,-123.35623,0,100091
100092,Fairfield Rd at Cook St,48.41801,-123.35576,0,100092
100093,Johnson St at Quadra St,48.42646,-123.35862,0,100093
100094,Richardson St at Cook St,48.41974,-123.35546,0,100094
100095,Cook St at Fairfield Rd,48.41825,-123.35541,0,100095
100096,Cook St at Richardson St,48.41943,-123.35514,0,100096
100097,Esquimalt Rd at Tyee Rd,48.42882,-123.37797,0,100097
100099,Esquimalt Rd at Tyee Rd,48.42865,-123.37801,0,100099
100100,Cook St at Fairfield Rd,48.41836,-123.35519,0,100100
100101,Quadra St at Pandora Ave,48.42728,-123.35905,0,100101
100102,Cook St at Southgate St,48.41605,-123.35597,0,100102
100105,Cook St at Richardson St,48.41986,-123.35483,0,100105
100106,Yates St at Vancouver St,48.42551,-123.35716,0,100106
100108,E Sooke Rd at Llanilar Rd,48.36642,-123.68406,0,100108
100109,Richardson St at Cook St,48.41952,-123.35444,0,100109
100110,Dallas Rd at Simcoe St,48.42112,-123.38553,0,100110
100111,Dallas Rd at Niagara St,48.41863,-123.3854,0,100111
100112,Cook St at Rockland Ave,48.42189,-123.35452,0,100112
100113,Cook St at Southgate St,48.41613,-123.35572,0,100113
100115,Cook St at Pandora Ave,48.42697,-123.35341,0,100115
100116,Dallas Rd at Montreal St,48.41664,-123.38509,0,100116
100117,Cook St at Oliphant Ave,48.41401,-123.35689,0,100117
100118,Quadra St at Pandora Ave,48.42789,-123.35891,0,100118
100120,Cook St at Oxford St,48.41437,-123.35649,0,100120
100121,Cook St at Rockland Ave,48.42231,-123.3542,0,100121
100122,Cook St at Fort St,48.42309,-123.35422,0,100122
100123,Fairfield Rd at Chester Ave,48.41747,-123.35376,0,100123
100124,Fairfield Rd at Su'it St,48.4176,-123.35377,0,100124
100125,Johnson St at Vancouver St,48.42618,-123.35591,0,100125
100126,Fort St at Cook St,48.42328,-123.35337,0,100126
100127,Yates St at Cook St,48.42525,-123.35472,0,100127
100128,Cook St at Fort St,48.42361,-123.35392,0,100128
100129,Pandora Ave at Quadra St,48.42753,-123.35817,0,100129
100130,May St at Cook St,48.41225,-123.35709,0,100130
100131,May St at Cook St,48.41212,-123.35695,0,100131
100132,Douglas St at Discovery St,48.43232,-123.3647,0,100132
100133,Quadra St at Balmoral Rd,48.42924,-123.35873,0,100133
100134,Esquimalt Rd at Sitkum Rd,48.43013,-123.38048,0,100134
100135,Quadra St at North Park St,48.42962,-123.3589,0,100135
100136,Metchosin Rd at Kenning Crt,48.41456,-123.48329,0,100136
100137,Fairfield Rd at Linden Ave,48.41711,-123.35249,0,100137
100138,Richardson St at Linden Ave,48.41936,-123.35185,0,100138
100139,Richardson St at Linden Ave,48.41917,-123.35118,0,100139
100141,Fairfield Rd at Linden Ave,48.41674,-123.35186,0,100141
100144,Cook St at Johnson St,48.42623,-123.35331,0,100144
100145,Quadra St at Caledonia Ave,48.43054,-123.35876,0,100145
100146,Douglas St at Discovery St,48.43218,-123.36449,0,100146
100147,Quadra St at Caledonia Ave,48.43059,-123.35854,0,100147
100148,Esquimalt Rd at Catherine St,48.43047,-123.38525,0,100148
