route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
14-VIC,1781,10031869:5673586:5690642,Vic General - via Craigflower,19158,5690642,1
70-VIC,2294,10058119:5673587:5691398,Swartz Bay Ferry - via Hwy #17,19212,5691398,0
70-VIC,2771,10124867:5673591:5690913,Downtown - via Hwy #17,18849,5690913,1
60-VIC,1781,10040454:5673595:5690238,Langford Exch - via Lagoon,19362,5690238,0
14-VIC,2089,10024626:5673597:5690061,UVic - via Richmond,19055,5690061,0
14-VIC,2087,10024626:5673597:5690951,UVic - via Richmond,19055,5690951,0
75-VIC,2087,10053201:5673598:5695591,Downtown,19205,5695591,1
75-VIC,2089,10053201:5673598:5695689,Downtown,19205,5695689,1
95-VIC,2771,10124724:5673599:5690138,Blink - to Downtown,18717,5690138,0
72-VIC,1781,10057958:5673600:5690957,Swartz Bay Ferry - via Saanichton,18512,5690957,0
26-VIC,2294,10041292:5673603:5690045,Dockyard - via Tillicum,18575,5690045,1
88-VIC,1781,10040229:5673604:5690960,Airport,18544,5690960,1
15-VIC,2089,10054612:5673605:5690390,Esquimalt - Fort/Yates Exp,18702,5690390,1
15-VIC,2087,10054612:5673605:5690876,Esquimalt - Fort/Yates Exp,18702,5690876,1
60-VIC,2294,10042044:5673606:5690133,Royal Bay Exch - via Lagoon,18644,5690133,1
7-VIC,2771,10126577:5673609:5690928,N UVic - Cook St Village,18918,5690928,1
22-VIC,2764,10025365:5673611:5690861,Vic General - via Hastings,19322,5690861,0
22-VIC,2682,10025365:5673611:5691098,Vic General - via Hastings,19322,5691098,0
22-VIC,2089,10025365:5673611:5691275,Vic General - via Hastings,19322,5691275,0
2-VIC,2771,10125926:5673613:5690090,South Oak Bay - Oak Bay Village,19218,5690090,0
15-VIC,1781,10031914:5673614:5690642,UVic - Foul Bay Exp,19054,5690642,0
28-VIC,1781,10032484:5673618:5691447,Majestic - via Shelbourne,18885,5691447,0
30-VIC,1781,10057747:5673622:5691373,Downtown,18838,5691373,1
26-VIC,1781,10032430:5673623:5691210,Dockyard - via Tillicum,18575,5691210,1
14-VIC,2089,10024575:5673626:5690439,Vic General - via Craigflower,19158,5690439,1
14-VIC,2087,10024575:5673626:5690743,Vic General - via Craigflower,19158,5690743,1
26-VIC,1781,10032397:5673627:5690632,Dockyard - via Tillicum,18575,5690632,1
52-VIC,2771,10126304:5673628:5690837,Colwood Exch - via Royal Bay,18903,5690837,0
6-VIC,2087,10053424:5673630:5691124,A Downtown - via Emily Carr,19049,5691124,1
6-VIC,2089,10053424:5673630:5691199,A Downtown - via Emily Carr,19049,5691199,1
26-VIC,2771,10125510:5673631:5690381,Dockyard - via Tillicum,18575,5690381,1
26-VIC,2294,10041399:5673632:5690050,UVic - via McKenzie,18624,5690050,0
8-VIC,2294,10040968:5673634:5691054,Oak Bay - via Finlayson,18660,5691054,0
61-VIC,2771,10124701:5673635:5690174,Langford Exch,19003,5690174,0
7-VIC,1781,10040424:5673636:5691047,UVic - via Fairfield,18816,5691047,1
6-VIC,2089,10053642:5673637:5691016,A Royal Oak Exch - via Emily Carr,18754,5691016,0
6-VIC,2087,10053642:5673637:5691150,A Royal Oak Exch - via Emily Carr,18754,5691150,0
28-VIC,2087,10025741:5673638:5690435,Majestic - via Shelbourne,18885,5690435,0
28-VIC,2089,10025741:5673638:5691453,Majestic - via Shelbourne,18885,5691453,0
10-VIC,2087,10094534:5673640:5874962,James Bay - via Vic West,18701,5874962,1
10-VIC,2089,10094534:5673640:5875434,James Bay - via Vic West,18701,5875434,1
30-VIC,2089,10053248:5673642:5690677,Royal Oak Exch - via Carey,18634,5690677,0
30-VIC,2087,10053248:5673642:5691342,Royal Oak Exch - via Carey,18634,5691342,0
6-VIC,1781,10032599:5673645:5690532,Royal Oak Exch - via Royal Oak Ctr,18715,5690532,0
11-VIC,2294,10041174:5673646:5690504,Tillicum Ctr - via Gorge,18834,5690504,1
54-VIC,2771,10126664:5673647:5690775,Langford Exch - via Royal Bay,19259,5690775,0
6-VIC,1781,10032642:5673651:5690123,Royal Oak Exch - via Royal Oak Ctr,18715,5690123,0
11-VIC,1781,10032070:5673653:5691130,Tillicum Ctr - via Gorge,18834,5691130,1
95-VIC,2089,10070454:5673654:5691198,Blink - to Langford,18836,5691198,1
95-VIC,2087,10070454:5673654:5691260,Blink - to Langford,18836,5691260,1
6-VIC,2294,10040838:5673655:5691102,A Downtown - via Emily Carr,19049,5691102,1
27-VIC,2294,10041539:5673656:5691267,Downtown,18663,5691267,1
58-VIC,2771,10126355:5673657:5690032,Langford Exch - via Westhills,18751,5690032,0
15-VIC,2771,10125107:5673660:5691240,Esquimalt - Fort/Yates Exp,18702,5691240,1
6-VIC,1781,10032598:5673661:5690288,A Downtown - via Emily Carr,19049,5690288,1
55-VIC,2087,10094052:5673663:5691333,William Head - via Happy Valley,18851,5691333,1
55-VIC,2089,10094052:5673663:5691470,William Head - via Happy Valley,18851,5691470,1
59-VIC,2771,10126340:5673665:5690350,Royal Bay Exch - via Triangle Mtn,18872,5690350,1
75-VIC,1781,10057718:5673666:5690527,Saanichton Exch,18912,5690527,0
95-VIC,2089,10070455:5673671:5691198,Blink - to Langford,18836,5691198,1
95-VIC,2087,10070455:5673671:5691260,Blink - to Langford,18836,5691260,1
75-VIC,2294,10058333:5673672:5690484,Saanichton Exch,18912,5690484,0
