,Route,Time,Speed,x,y,Notes
0,50 Downtown,2022-05-26 15:09:11.244546,39.6,-123.5076904296875,48.44719696044922,Route: 50 Downtown   Time: 15:09:11   Speed: 39.6 km/hr
1,50 Downtown,2022-05-26 15:09:21.426473,21.6,-123.50579071044922,48.45029830932617,Route: 50 Downtown   Time: 15:09:21   Speed: 21.6 km/hr
2,50 Downtown,2022-05-26 15:09:31.610137,21.6,-123.50579071044922,48.45029830932617,Route: 50 Downtown   Time: 15:09:31   Speed: 21.6 km/hr
3,50 Downtown,2022-05-26 15:09:41.791664,21.6,-123.50579071044922,48.45029830932617,Route: 50 Downtown   Time: 15:09:41   Speed: 21.6 km/hr
4,50 Downtown,2022-05-26 15:09:51.958186,18.0,-123.50536346435547,48.45042419433594,Route: 50 Downtown   Time: 15:09:51   Speed: 18.0 km/hr
5,50 Downtown,2022-05-26 15:10:02.138834,18.0,-123.50536346435547,48.45042419433594,Route: 50 Downtown   Time: 15:10:02   Speed: 18.0 km/hr
6,50 Downtown,2022-05-26 15:10:12.323601,18.0,-123.50536346435547,48.45042419433594,Route: 50 Downtown   Time: 15:10:12   Speed: 18.0 km/hr
7,50 Downtown,2022-05-26 15:10:22.494695,14.4,-123.50495147705078,48.45027542114258,Route: 50 Downtown   Time: 15:10:22   Speed: 14.4 km/hr
8,50 Downtown,2022-05-26 15:10:32.678429,14.4,-123.50495147705078,48.45027542114258,Route: 50 Downtown   Time: 15:10:32   Speed: 14.4 km/hr
9,50 Downtown,2022-05-26 15:10:42.859793,14.4,-123.50495147705078,48.45027542114258,Route: 50 Downtown   Time: 15:10:42   Speed: 14.4 km/hr
10,50 Downtown,2022-05-26 15:10:53.034577,21.6,-123.5019302368164,48.44953155517578,Route: 50 Downtown   Time: 15:10:53   Speed: 21.6 km/hr
11,50 Downtown,2022-05-26 15:11:03.242671,21.6,-123.5019302368164,48.44953155517578,Route: 50 Downtown   Time: 15:11:03   Speed: 21.6 km/hr
12,50 Downtown,2022-05-26 15:11:13.420558,18.0,-123.50086975097656,48.44940185546875,Route: 50 Downtown   Time: 15:11:13   Speed: 18.0 km/hr
13,50 Downtown,2022-05-26 15:11:23.599291,18.0,-123.50086975097656,48.44940185546875,Route: 50 Downtown   Time: 15:11:23   Speed: 18.0 km/hr
14,50 Downtown,2022-05-26 15:11:33.793746,18.0,-123.50086975097656,48.44940185546875,Route: 50 Downtown   Time: 15:11:33   Speed: 18.0 km/hr
15,50 Downtown,2022-05-26 15:11:43.964954,3.6,-123.49750518798828,48.44811248779297,Route: 50 Downtown   Time: 15:11:43   Speed: 3.6 km/hr
16,50 Downtown,2022-05-26 15:11:54.140479,3.6,-123.49750518798828,48.44811248779297,Route: 50 Downtown   Time: 15:11:54   Speed: 3.6 km/hr
17,50 Downtown,2022-05-26 15:12:04.310446,3.6,-123.49750518798828,48.44811248779297,Route: 50 Downtown   Time: 15:12:04   Speed: 3.6 km/hr
18,50 Downtown,2022-05-26 15:12:14.486196,0.0,-123.49748229980469,48.44810485839844,Route: 50 Downtown   Time: 15:12:14   Speed: 0.0 km/hr
19,50 Downtown,2022-05-26 15:12:24.671639,0.0,-123.49748229980469,48.44810485839844,Route: 50 Downtown   Time: 15:12:24   Speed: 0.0 km/hr
20,50 Downtown,2022-05-26 15:12:34.845990,0.0,-123.49748229980469,48.44810485839844,Route: 50 Downtown   Time: 15:12:34   Speed: 0.0 km/hr
21,50 Downtown,2022-05-26 15:12:45.024790,18.0,-123.49626159667969,48.44762420654297,Route: 50 Downtown   Time: 15:12:45   Speed: 18.0 km/hr
22,50 Downtown,2022-05-26 15:12:55.207230,18.0,-123.49626159667969,48.44762420654297,Route: 50 Downtown   Time: 15:12:55   Speed: 18.0 km/hr
23,50 Downtown,2022-05-26 15:13:05.388585,18.0,-123.49626159667969,48.44762420654297,Route: 50 Downtown   Time: 15:13:05   Speed: 18.0 km/hr
24,50 Downtown,2022-05-26 15:13:15.556491,3.6,-123.49595642089844,48.44749069213867,Route: 50 Downtown   Time: 15:13:15   Speed: 3.6 km/hr
25,50 Downtown,2022-05-26 15:13:25.734336,3.6,-123.49595642089844,48.44749069213867,Route: 50 Downtown   Time: 15:13:25   Speed: 3.6 km/hr
26,50 Downtown,2022-05-26 15:13:35.909770,3.6,-123.49595642089844,48.44749069213867,Route: 50 Downtown   Time: 15:13:35   Speed: 3.6 km/hr
27,50 Downtown,2022-05-26 15:13:46.087879,28.8,-123.49517822265625,48.447181701660156,Route: 50 Downtown   Time: 15:13:46   Speed: 28.8 km/hr
28,50 Downtown,2022-05-26 15:13:56.258965,28.8,-123.49517822265625,48.447181701660156,Route: 50 Downtown   Time: 15:13:56   Speed: 28.8 km/hr
29,50 Downtown,2022-05-26 15:14:06.439925,28.8,-123.49517822265625,48.447181701660156,Route: 50 Downtown   Time: 15:14:06   Speed: 28.8 km/hr
30,50 Downtown,2022-05-26 15:14:16.619179,0.0,-123.49403381347656,48.4468994140625,Route: 50 Downtown   Time: 15:14:16   Speed: 0.0 km/hr
31,50 Downtown,2022-05-26 15:14:26.807822,0.0,-123.49403381347656,48.4468994140625,Route: 50 Downtown   Time: 15:14:26   Speed: 0.0 km/hr
32,50 Downtown,2022-05-26 15:14:36.990241,0.0,-123.49403381347656,48.4468994140625,Route: 50 Downtown   Time: 15:14:36   Speed: 0.0 km/hr
33,50 Downtown,2022-05-26 15:14:47.161336,39.6,-123.49249267578125,48.44664764404297,Route: 50 Downtown   Time: 15:14:47   Speed: 39.6 km/hr
34,50 Downtown,2022-05-26 15:14:57.343910,39.6,-123.49249267578125,48.44664764404297,Route: 50 Downtown   Time: 15:14:57   Speed: 39.6 km/hr
35,50 Downtown,2022-05-26 15:15:07.514873,39.6,-123.49249267578125,48.44664764404297,Route: 50 Downtown   Time: 15:15:07   Speed: 39.6 km/hr
36,50 Downtown,2022-05-26 15:15:17.675861,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:15:17   Speed: 0.0 km/hr
37,50 Downtown,2022-05-26 15:15:27.844709,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:15:27   Speed: 0.0 km/hr
38,50 Downtown,2022-05-26 15:15:38.122797,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:15:38   Speed: 0.0 km/hr
39,50 Downtown,2022-05-26 15:15:48.297617,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:15:48   Speed: 0.0 km/hr
40,50 Downtown,2022-05-26 15:15:58.481551,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:15:58   Speed: 0.0 km/hr
41,50 Downtown,2022-05-26 15:16:08.674996,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:16:08   Speed: 0.0 km/hr
42,50 Downtown,2022-05-26 15:16:18.845958,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:16:18   Speed: 0.0 km/hr
43,50 Downtown,2022-05-26 15:16:29.022931,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:16:29   Speed: 0.0 km/hr
44,50 Downtown,2022-05-26 15:16:39.197777,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:16:39   Speed: 0.0 km/hr
45,50 Downtown,2022-05-26 15:16:49.366679,0.0,-123.48802947998047,48.446311950683594,Route: 50 Downtown   Time: 15:16:49   Speed: 0.0 km/hr
