,Route,Time,Speed,x,y,Notes
0,14 UVic Via Richmond,20:39:06,3.6,-123.4367904663086,48.45346450805664,Route: 14 UVic Via Richmond   Time: 20:39:06   Speed: 3.6 km/hr
1,25 Maplewood,20:39:06,46.800000000000004,-123.4207534790039,48.43771743774414,Route: 25 Maplewood   Time: 20:39:06   Speed: 46.800000000000004 km/hr
2,24 Admirals Walk Via Colville,20:39:06,7.2,-123.35346221923828,48.426265716552734,Route: 24 Admirals Walk Via Colville   Time: 20:39:06   Speed: 7.2 km/hr
3,7N UVic - Cook St Village,20:39:06,25.2,-123.35891723632812,48.4185676574707,Route: 7N UVic - Cook St Village   Time: 20:39:06   Speed: 25.2 km/hr
4,15 UVic - Foul Bay Exp,20:39:06,0.0,-123.30862426757812,48.4656867980957,Route: 15 UVic - Foul Bay Exp   Time: 20:39:06   Speed: 0.0 km/hr
5,27 Gordon Head Via Shelbourne,20:39:06,18.0,-123.35385131835938,48.426002502441406,Route: 27 Gordon Head Via Shelbourne   Time: 20:39:06   Speed: 18.0 km/hr
6,52 Bear Mountain Via Lagoon,20:39:06,0.0,-123.49298858642578,48.43428421020508,Route: 52 Bear Mountain Via Lagoon   Time: 20:39:06   Speed: 0.0 km/hr
7,75 Downtown,20:39:06,39.6,-123.45339965820312,48.577911376953125,Route: 75 Downtown   Time: 20:39:06   Speed: 39.6 km/hr
8,27 Downtown,20:39:06,10.8,-123.33309936523438,48.46104431152344,Route: 27 Downtown   Time: 20:39:06   Speed: 10.8 km/hr
9,31 Royal Oak Exch Via Glanford,20:39:06,25.2,-123.36446380615234,48.42767333984375,Route: 31 Royal Oak Exch Via Glanford   Time: 20:39:06   Speed: 25.2 km/hr
10,6A Royal Oak Exch Via Emily Carr,20:39:06,21.6,-123.3652572631836,48.424964904785156,Route: 6A Royal Oak Exch Via Emily Carr   Time: 20:39:06   Speed: 21.6 km/hr
11,72 Downtown,20:39:06,0.0,-123.40031433105469,48.64909362792969,Route: 72 Downtown   Time: 20:39:06   Speed: 0.0 km/hr
12,72 Swartz Bay Ferry Via Saanichton,20:39:06,32.4,-123.36517333984375,48.42494201660156,Route: 72 Swartz Bay Ferry Via Saanichton   Time: 20:39:06   Speed: 32.4 km/hr
